Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
Kerrostalo | 2h + kk + p,"Eeronkatu 6, Nisula, Jyväskylä",122 500 €,41 m²,1987
Kerrostalo | 4h + k + khh,"Lohikoskentie 14, Holsti, Jyväskylä",179 000 €,"94,5 m²",1962
Kerrostalo | 2h + k + kph + lasit.p,"Valtterintie 1, Säynätsalo, Jyväskylä",45 000 €,64 m²,1974
"Kerrostalo | 2h, k, kph","Eeronkatu 7, Keskusta, Jyväskylä",190 000 €,69 m²,1940
Rivitalo | 3h + k + s,"Mesikämmen 7, Halssilanrinne, Jyväskylä",99 000 €,87 m²,1981
"Kerrostalo | 2h, kk, kph","Vaasankatu 25, Keskusta, Jyväskylä",129 000 €,46 m²,1957
"Kerrostalo | 2h, k","Parviaisentie 5, Säynätsalo, Jyväskylä",42 000 €,51 m²,1956
"Omakotitalo | 3 mh, tupakeittiö, khh, sauna, pesuhuone, wc","Saarentie 9, Korpilahti, Jyväskylä",240 000 €,110 m²,1992
Omakotitalo | oh + k + 2mh + wc / ph + s,"Petäjävedentie 1783, Jyväskylä",35 000 €,-1,1913
"Kerrostalo | 2h, kt, s","Tanhukaari 7 A, Kuokkala, Jyväskylä",159 000 €,"46,5 m²",2014
Rivitalo | Oh + 4mh + k + s + kh + khh + vh,"Pitkäkatu 38-42, Mäki-Matti, Jyväskylä",287 000 €,120 m²,1966
"Kerrostalo | 3mh, tupakeittiö, kph, sauna","Korkeakoskentie 23, Keljo, Jyväskylä",120 000 €,"70,5 m²",1998
"Kerrostalo | 1h, k, wc","Vesmannintie 3 B, Vaajakoski, Jyväskylä",39 000 €,44 m²,1938
"Kerrostalo | 4h, kt, s, pesuh, wc, khh, 2 parveketta","Taulumäentie 51, Taulumäki, Jyväskylä",418 000 €,97 m²,2017
"Rivitalo | 5h, k, s, kph, wc, parveke, patio","Isännöitsijäntie 47, Jyskä, Jyväskylä",279 000 €,"104,5 m²",2004
"Kerrostalo | 3h, k, kph, lasitettu parveke","Tyyppäläntie 8, Lohikoski, Jyväskylä",84 900 €,72 m²,1965
Kerrostalo | 1h + kt + alk,"Korkeakoskentie 27, Keljo, Jyväskylä",119 000 €,"30,5 m²",2019
Omakotitalo | 5h + k + 2vh + s + kph + wc,"Vaskontie 11, Nenäinniemi, Jyväskylä",244 000 €,125 m²,1988
