Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
"Rivitalo | 3 mh, olohuone, keittiö, kph, sauna, erill. wc, pa","Matinmäentie 120 C, Palokka, Jyväskylä",149 000 €,"89,5 m²",1985
"Kerrostalo | 2h, k, kph, s, lasit.parv","Taulumäentie 61 A, Taulumäki, Jyväskylä",199 000 €,55 m²,2016
Kerrostalo | 2h + kk + s,"Yrjönkatu 14 , Keskusta, Jyväskylä",185 000 €,"46,5 m²",1999
Kerrostalo | 1h + kk + kh,"Pitkäkatu 27 B, Mäki-Matti, Jyväskylä",88 000 €,29 m²,1965
"Omakotitalo | 3 makuuhuonetta, olohuone, keittiö, takkahuone, ky","Hytösenkuja 4, Palokka/Ritoniemi, Jyväskylä",575 000 €,184 m²,1970
"Omakotitalo | 4 huonetta, keittiö, pesuhuone, sauna, erill. wc,","Voikonkatu 8, Mannila, Jyväskylä",478 000 €,160 m²,2013
Omakotitalo | 3 huonetta + keittiö + ruokailuhuone + 2 x wc + sa,"Köhniönkatu 45, Köhniö, Jyväskylä",159 000 €,110 m²,1950
"Kerrostalo | 3 huonetta, keittiö, kylpyhuone, 2*parveke","Voionmaankatu 9 A, Mäki-Matti, Jyväskylä",267 000 €,94 m²,1962
"Omakotitalo | 5 huonetta, keittiö, kph, sauna, khh, 2*wc, 2*vh,","Kelohonka 3, Haukkalanranta, Jyväskylä",430 000 €,150 m²,2007
Kerrostalo | 2h + tupak + kph + parveke,"Helokantie 1, Keltinmäki, Jyväskylä",47 000 €,43 m²,1977
"Kerrostalo | 2h, k, s, kph, ter","Kivipelto 4, Kekkola, Jyväskylä",89 000 €,62 m²,1987
"Omakotitalo | As1: 3-4h, k, wc, 2vh. As2: 1h, k, wc, 2ull. As3:","Tourukatu 12, Keskusta, Jyväskylä",360 000 €,161 m²,1940
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 1h + k + kh + rp,"Äijäläntie 23 A, Väinölä, Jyväskylä",104 000 €,"25,5 m²",2019
"Rivitalo | 2h, k, kph, s","Taidepolku 1 As, Viitaniemi, Jyväskylä",129 000 €,"53,5 m²",1962
"Rivitalo | 4-5h, k, s, kph, khh, wc, vh, p, ter","Vasikkahaka 3, Kaijanlampi, Jyväskylä",232 000 €,124 m²,2008
"Kerrostalo | 3 makuuhuonetta, olohuone, keittiö, kph, erill.wc,","Jyskäntie 2 A, Jyskä,, Tammiperä Jyväskylä",99 700 €,"94,5 m²",1983
"Omakotitalo | 4h, k","Kulmatie 7, Säynätsalo, Jyväskylä",89 000 €,113 m²,1949
Omakotitalo | 4h + k + wc + ph + s,"Luttoskatu 10 B, Köhniö, Jyväskylä",85 000 €,84 m²,1953
Kerrostalo | 3h + k + s,"Tellervonkatu 10, Keskusta, Jyväskylä",175 000 €,75 m²,1986
Kerrostalo | 1h + kt + p,"Sippulantie 4, Ristikivi, Jyväskylä",139 000 €,"36,5 m²",2018
"Omakotitalo | k, oh, kh, vh, parvihuone + terassi","Saaritie 29, Muuratsalo/33, Jyväskylä",189 000 €,-1,1958
"Kerrostalo | 2mh, k, oh, kph","Helokantie 1, Keltinmäki, Jyväskylä",49 000 €,62 m²,1977
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + kph + vh + las.p,"Kaakonpyrstö 4, Sulku, Jyväskylä",49 000 €,"52,5 m²",1976
Kerrostalo | 2h + kk + s,"Kelokatu 8, Rasinrinne, Jyväskylä","20 477,66 €","52,5 m²",2010
"Rivitalo | 3h, k, s, ph, khh, p, ter","Matinmäentie 120, Palokka, Jyväskylä",139 000 €,"82,5 m²",1985
"Kerrostalo | 2h, k, kh, vh, p","Tavintie 2, Aholaita, Jyväskylä",74 000 €,55 m²,1974
Kerrostalo | 2h + k + s,"Heinäkuja 1 ja 2, Palokka, Jyväskylä","21 542,38 €",52 m²,2017
"Rivitalo | 5h, k, s, kph, wc, vh, terassi","Äijäläntie 31, Äijälä, Jyväskylä",229 000 €,"110,5 m²",2004
Paritalo | 4h + k + rt + kph + wc + khh + ph + s + vh + tekn.t + tk + p + var,"Koukonkuja 12 A, Halssilanrinne, Jyväskylä",287 000 €,"115,5 m²",2009
Kerrostalo | 3h + k,"Laajavuorentie 6, Savela, Jyväskylä","28 070,02 €","64,5 m²",2015
Kerrostalo | 3H + K + S,"KIRRINKYDÖNTIE 12, Jyskä, Jyväskylä","11 516,46 €",73 m²,1992
Kerrostalo | 3h + kt + s + p,"Tiilitehtaantie 48 A, Palokka, Jyväskylä",199 000 €,"55,5 m²",2018
Rivitalo | 2h + k + s + ak,"Rinnetie 2, Palokka, Jyväskylä",98 000 €,"57,8 m²",1989
Omakotitalo | 4h + k + s + khh + at,"Haapa-Heikintie 17, Jyskä, Jyväskylä",159 000 €,86 m²,1980
Rivitalo | 3h + k + khh + s + wc,"Tienpää 6, Ritoniemi, Jyväskylä",179 000 €,"76,5 m²",2004
-1,-1,-1,-1,-1
Kerrostalo | 3h + k + kph + vh + las.p,"Halmekatu 6, Seppälä, Jyväskylä",99 000 €,72 m²,1965
"Kerrostalo | 3h, k, lasit.p.","Kaakonsiipi 7, Huhtasuo, Jyväskylä",76 000 €,"75,5 m²",1977
Kerrostalo | 2h + kt + s + vh,"Åströminkatu 3, Keljo, Jyväskylä",160 000 €,68 m²,2012
Omakotitalo | 7h + k + 2kph + s + 3wc + var + kellari + (at) + 2 parv + terassi,"Alvar Aallonkatu 1, Älylä, Jyväskylä",780 000 €,290 m²,1914
Kerrostalo | 6h + k + kph + 2 wc + p,"Virkalantie 1, Säynätsalo, Jyväskylä",197 000 €,140 m²,1942
"Rivitalo | 3h, k, s","Hytöläntie 14 as, Palokka,, Piilola Jyväskylä",163 000 €,"85,5 m²",2000
"Rivitalo | 3h, k, s, kph, aula / vaatehuone, wc, p, ter, var,","Hauskalantie 6, Keljo, Jyväskylä",179 000 €,"82,5 m²",1988
"Kerrostalo | 3h, k, kph, las.p","Tavintie 4, Kivistö, Jyväskylä",119 000 €,77 m²,1973
"Kerrostalo | 2h, k, kh, wc, p","Valssikuja 6, Kekkola, Jyväskylä",89 000 €,65 m²,1995
Kerrostalo | 3h + k + vh + kph + s + p,"Yliopistonkatu 19, Keskusta, Jyväskylä",199 000 €,73 m²,1964
Kerrostalo | 4h + k + kph + wc + s + et + vh,"Emännäntie 19 C, Kortepohja, Jyväskylä",93 000 €,89 m²,1972
"Kerrostalo | 2h, kt, kph","Pellonreuna 1 A, Kekkola, Jyväskylä",119 000 €,39 m²,2016
Kerrostalo | 2h + k + kph + lasit.p,"Taulumäentie 53, Kivelänranta, Jyväskylä",163 925 €,"41,5 m²",2019
"Omakotitalo | 4h, k, s, tkh, kph, khh, erill.wc, vh, autotalli","Naurishalme 3, Korpilahti, Jyväskylä",137 000 €,92 m²,1984
Kerrostalo | 2h + k,"Tapionkatu 15, Keskusta, Jyväskylä",135 000 €,49 m²,1959
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k, kph, vh, las.p.","Haaparinteentie 10, Vaajakoski, Jyväskylä",68 000 €,74 m²,1975
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 2 huonetta, keittiö, kylpyhuone, sauna, lasitettu","Valajankatu 14 A, Rautpohja, Jyväskylä",155 000 €,"43,5 m²",2017
-1,-1,-1,-1,-1
"Kerrostalo | 1 huone, keittokomero, kylpyhuone, lasitettu parve","Karpalokuja 1 A, Kangaslampi, Jyväskylä",55 000 €,34 m²,1979
-1,-1,-1,-1,-1
"Kerrostalo | 1h, kt","Korteniityntie 50, Kortepohja, Jyväskylä",83 000 €,31 m²,2016
Kerrostalo | 4h + k + osuus saunaosastosta,"Takalankuja 2, Kortepohja, Jyväskylä",99 000 €,81 m²,1973
Rivitalo | 1h + kk + s + ph,"Ruukintie 1, Tikkakoski, Jyväskylä",44 500 €,"34,5 m²",1989
"Omakotitalo | 2h, k, et","Kuohunraitti 44, Kuohu, Jyväskylä",19 000 €,35 m²,1957
-1,-1,-1,-1,-1
"Rivitalo | 1h, k, kph, s, wc, vh","Hokkalantie 18, Jyskä, Jyväskylä",97 500 €,"44,5 m²",1990
"Rivitalo | 3h, k, s","Mesikämmen 12, Halssila, Jyväskylä",119 000 €,"84,5 m²",1982
Kerrostalo | 4h + k + wc + kh + p,"Samettijalka 2 A, Keltinmäki, Jyväskylä",99 000 €,"87,5 m²",1974
"Kerrostalo | 1h, alk, kk, ph, s, p","Palstatie 2, Kuokkala, Jyväskylä",94 500 €,35 m²,1990
-1,-1,-1,-1,-1
"Kerrostalo | 1h, kt","Paperitehtaankatu 4, Kangas, Jyväskylä",159 000 €,33 m²,2019
"Kerrostalo | 1h, kk, ph, s, p","Koskenkuja 3, Jyväskylä, Jyväskylä",103 000 €,"34,5 m²",1984
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 3H + K + KPH + P,"Hannikaisenkatukatu 27, Keskusta, Jyväskylä",163 500 €,73 m²,1963
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Rivitalo | 2h, k, kph, s","Helvintie 3, Ristonmaa, Jyväskylä",144 000 €,"51,5 m²",2009
"Omakotitalo | oh, k, 2mh, kph, s, aulat x 2, et","Pellonpääntie 2, Haapaniemi, Jyväskylä",159 000 €,100 m²,1927
"Kerrostalo | 2h, k, kph, las.p","Tyyppäläntie 4, Lohikoski, Jyväskylä",78 000 €,"57,5 m²",1967
Omakotitalo | 5h + k + vh + 2 wc + kph + s + p + at + kellaritilat,"Lakeistie 147a, Vaajakoski, Jyväskylä",269 000 €,149 m²,2005
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k, kph, parv","Silokkaantie 5 As, Keltinmäki, Jyväskylä",49 000 €,"74,5 m²",1972
-1,-1,-1,-1,-1
"Rivitalo | 2h, k, kh, vh + tilava eteiskomero","Levästentie 3 as., Korpilahti, Jyväskylä",49 500 €,64 m²,1971
Kerrostalo | 2h + kt + parv,"Sulkulantie 17, Kuokkala, Jyväskylä",144 000 €,"40,5 m²",2018
Kerrostalo | 3h + k + kph + vh + p,"Emännäntie 20, Laajavuori, Jyväskylä",97 000 €,66 m²,1971
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Rivitalo | 2h + k + kh + var.,"Levästentie 1, Korpilahti, Jyväskylä",42 500 €,50 m²,1975
Kerrostalo | Ih + kk + kh + p,"Polttolinja 19 D, Kuokkala, Jyväskylä",69 000 €,"30,5 m²",1989
Rivitalo | 4h + k + ph + s + 2wc + var + terassi,"Mesikämmen 6 B, Halssila, Jyväskylä",119 000 €,93 m²,1989
Rivitalo | 2h + k + kph + s,"Martikaisentie 12 B, Palokka, Jyväskylä",99 000 €,"57,5 m²",1988
"Rivitalo | 2h, kk, s, kph, ter, var","Tuulimyllyntie 27, Myllyjärvi, Jyväskylä",69 000 €,58 m²,1976
Kerrostalo | 2h + k + kh + s + p,"Ahde 1 A, Kekkola, Jyväskylä",99 000 €,"60,5 m²",1986
"Paritalo | 5h, k, khh, kph, s, wc, t","Kennääntie 71 B, Puuppola, Jyväskylä",169 000 €,"134,5 m²",1992
"Omakotitalo | 4h, k, kph, s, wc, kellari, varastot","Särkijoentie 611, Korpilahti, Jyväskylä",149 000 €,109 m²,1954
Kerrostalo | 2 h + k + s,"Äijälänrannantie 32, Äijälänranta, Jyväskylä",225 000 €,"49,5 m²",2019
Kerrostalo | 4h + k + ruokailutila + kph + s + wc (2kpl) + vh + lasitettu parveke (2 kpl),"Iltarannantie 4 D , Ainola, Jyväskylä",337 000 €,"112,5 m²",2006
Kerrostalo | 3h + kk + s,"Kelokatu 8, Rasinrinne, Jyväskylä","23 869,91 €","65,5 m²",2010
"Kerrostalo | 2 makuuhuonetta, olohuone, keittiö, kylpyhuone, sa","Kiulu 3 A, Kuokkalanpelto, Jyväskylä",157 000 €,"73,5 m²",2006
Kerrostalo | 2h + kk + s,"Liinaharjankatu 7, Mankola, Jyväskylä","17 867,37 €","47,5 m²",2010
Kerrostalo | 2h + kk,"Vesmannintie 1, Vaajakoski, Jyväskylä",69 900 €,36 m²,1940
"Rivitalo | 2h, k, s","Ollintie 6 C, Palokka, Jyväskylä",175 000 €,60 m²,2012
"Kerrostalo | 4h, k, 2 x kph, p","Vadelmakuja 2 A, Kangaslampi, Jyväskylä",99 000 €,"91,5 m²",1984
Paritalo | 3h + k + 2wc + kph + khh + s + ak + var,"Suksipajantie 10, Samulinniemi, Jyväskylä",209 000 €,84 m²,2013
"Kerrostalo | 2h, k, s, kph, wc, vh, p","Kekkolantie 25, Kekkola, Jyväskylä",105 000 €,"59,5 m²",1992
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + kph + vh + lasitettu parveke,"Lohikoskentie 16 B 22, Holsti, Jyväskylä",117 000 €,50 m²,1959
"Kerrostalo | 2h, k, s, terassi","Pärnäsentie 1, Ritoniemi, Jyväskylä",106 000 €,"57,5 m²",1998
Omakotitalo | 4 h + k + kh + s + khh + wc + 2vh,"Paatelankuja 4 C, Säynätsalo, Jyväskylä",199 000 €,135 m²,1986
Kerrostalo | 2h + kk + kh + lasitettu parveke,"Hilmerinkuja 1, Säynätsalo, Jyväskylä",39 500 €,"50,5 m²",1975
"Kerrostalo | 3h, kt, kph","Viitaniementie 10, Viitaniemi, Jyväskylä",159 000 €,"69,5 m²",1961
"Omakotitalo | 6h, k, s, autotalli","Viitaharjuntie 5, Jyväskylä, Jyväskylä",100 000 €,155 m²,1988
"Omakotitalo | 4h, k, s, kph, khh, pkh, 2wc, var, ull, kuisti","Kangaskatu 11, Köhniö, Jyväskylä",160 000 €,100 m²,1949
Kerrostalo | 2h + kk + p,"Tietoniekantie 2, Kortepohja, Jyväskylä",79 000 €,46 m²,1969
"Luhtitalo | 3h, k, s, khh, vh, terassipiha","Haltiattarentie 21, Mustalampi, Jyväskylä",147 000 €,76 m²,2016
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, kt, kph","Viitaniementie 10, Viitaniemi, Jyväskylä",148 000 €,61 m²,1961
"Kerrostalo | 3h, k, kph, vh, las.p","Kaakonpyrstö 6, Kaakkolampi, Jyväskylä",55 000 €,80 m²,1977
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + s,"Kivipelto 4 P, Kekkola, Jyväskylä",109 000 €,62 m²,1987
Kerrostalo | 1h + kk + kph + s + parveke.,"Keljonkatu 5, Kukkumäki, Jyväskylä",89 000 €,35 m²,1984
Omakotitalo | 3h + k + khh + wc + ph + s + askh + at + p,"Käpytie 3, Vaajakoski, / Savonmäki Jyväskylä",198 000 €,104 m²,1995
-1,-1,-1,-1,-1
"Omakotitalo | 4h, k, khh, kph, s, at, var, kellari","Jussilanrinne 14, Jyskä, Jyväskylä",239 000 €,109 m²,1988
"Kerrostalo | 3h, k, kph, p","Keskikatu 14 F, Mäki-Matti, Jyväskylä",129 000 €,68 m²,1957
"Omakotitalo | 4h, k, 2*wc, khh, k, s, pukuhuone, kellari","Vanhatie 12, Keljonkangas, Jyväskylä",115 000 €,-1,1958
"Rivitalo | 3h, k, s, kph, wc, khh, et, p, var","Matinmäentie 120, Palokka, Jyväskylä",135 000 €,83 m²,1985
Rivitalo | 1h + kk + s,"Sirkanpolku 2-4, Jyskä, Jyväskylä",89 000 €,38 m²,1990
Kerrostalo | 3h + k + kph + lasit.p,"Kaakonkoipi 1, Sulku, Jyväskylä",77 000 €,80 m²,1978
Rivitalo | 3h + k + s + kph + khh + wc + autokatosp.,"Ollilantie 5, Palokka, Ollila Jyväskylä",157 000 €,73 m²,1997
"Rivitalo | 3h, k, oh, kph, s, vh, terassi, varasto","Ritoharjuntie 9, Palokka, Jyväskylä",149 000 €,77 m²,1982
Kerrostalo | 4H + K + S,"WILHELM SCHILDTIN KATU 20, Kortesuo, Jyväskylä","25 373,31 €","88,5 m²",2001
"Paritalo | 5mh, k, oh, tkh, kph, s, 2wc, autotalli","Tarhamäentie 2, Keljo, Jyväskylä",259 000 €,163 m²,1984
-1,-1,-1,-1,-1
Rivitalo | 2h + k + s + ak + khh + kph + wc + var,"Ollintie 6, Palokka, Jyväskylä",173 000 €,60 m²,2012
Kerrostalo | 1h + kt + kph + r.parveke,"Ylistönmäentie 33 A, Ylistönmäki, Jyväskylä",99 700 €,"23,5 m²",2020
"Rivitalo | 4h, k, kh, s, et, wc, autokatos / var, lasit. parv","Korkeakoskentie 20, Valkola, Jyväskylä",177 000 €,84 m²,2000
"Omakotitalo | 8h, k, rt, khh, ph, s, kph, 2*erill.wc, vh, kuntos","Matinmäentie 86A, Palokka, Jyväskylä",695 000 €,250 m²,2014
"Kerrostalo | 2 huonetta, keittokomero, kylpyhuone, vaatehuone,","Kangaslammentie 8 B, Kangaslampi, Jyväskylä",40 000 €,"50,5 m²",1975
Kerrostalo | 3h + k + s,"Kelokatu 8, Rasinrinne, Jyväskylä","25 481,02 €","71,5 m²",2010
Kerrostalo | 5h + k + kph + p,"Puistotori 6, Puistola, Jyväskylä",215 000 €,87 m²,1959
Omakotitalo | oh + 3mh + 2kph + s + khh + wc + varastot,"Kortesuonkatu 42, Mäki-Matti, Jyväskylä",240 000 €,120 m²,1949
-1,-1,-1,-1,-1
Omakotitalo | Oh + k + 3mh + 2 x wc + kph + s + aputiloja,"Niitynpääntie 22, Vaajakoski, Jyväskylä",158 000 €,85 m²,1948
"Kerrostalo | 2h, k, kph","Puistokatu 17 B, Keskusta, Jyväskylä",117 000 €,59 m²,1956
"Kerrostalo | 3 huonetta, keittiö, kylpyhuone, sauna, lasitettu","Satamakatu 13 A, Lutakko, Jyväskylä",319 000 €,"68,5 m²",2017
Kerrostalo | 2h + vh + kph + k + p,"Yrjönkatu 8, Keskusta, Jyväskylä",140 000 €,45 m²,1961
Kerrostalo | 1h + kt,"Valajankatu 12 A, Rautpohja, Jyväskylä",111 900 €,25 m²,2018
Kerrostalo | 3h + k + p + kph + vh,"Saihokatu 5, Köhniö, Jyväskylä",72 000 €,72 m²,1967
"Kerrostalo | 1h, kk, kph, vh, las.parveke","Hilmerinkuja 4, Säynätsalo, Jyväskylä",29 000 €,"33,5 m²",1978
-1,-1,-1,-1,-1
Luhtitalo | 3h + k + kph,"Lehtishaka 4 E 1, Säynätsalo, Jyväskylä",109 000 €,67 m²,1975
Kerrostalo | 4h + k + kph,"Emännäntie 19 B, Kortepohja, Jyväskylä",89 000 €,80 m²,1972
"Kerrostalo | 2h, kk, kh, p","Karsikkotie 7 B, Pupuhuhta, Jyväskylä",42 000 €,48 m²,1980
Rivitalo | 5h + k + s + kph + khh + 2 erill.wc + vh + p + ter,"Tykkikalliontie 8, Ainola, Jyväskylä",318 000 €,120 m²,2006
Kerrostalo | 3h + k + s,"Harakkaranta 8 A, Samulinniemi, Jyväskylä",179 000 €,74 m²,2011
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + kt + s + p,"Ryytipolku 2, Sulkulanranta, Jyväskylä",139 000 €,42 m²,2016
"Kerrostalo | 2h, kk, s, kph","Yliopistonkatu 7, Keskusta, Jyväskylä",173 000 €,"59,5 m²",2004
Kerrostalo | 2h + k + kph + p,"Valtterintie 4, Säynätsalo, Jyväskylä",49 000 €,59 m²,1972
"Rivitalo | 2h, kk, s","Humperintie 3, Korpilahti, Jyväskylä",59 500 €,44 m²,1993
Luhtitalo | 3h + k + s,"Kangastie 6, Säynätsalo, Jyväskylä",97 000 €,68 m²,1990
"Kerrostalo | 1h, kk, alk, s, kph, p","Saarikonkatu 9, Pirttimäki, Jyväskylä",78 000 €,"36,5 m²",2005
"Kerrostalo | 3h, k","Puistokatu 17, Keskusta, Jyväskylä",139 000 €,72 m²,1956
"Kerrostalo | 1h, k, kh","Vapaudenkatu 83, Puistola, Jyväskylä",97 000 €,33 m²,1943
"Omakotitalo | 4h, k, kh, s, khh, vh, ph, 2wc, autotalli","Kahlaajankuja 4, Palokka, Jyväskylä",494 000 €,"160,5 m²",2013
"Rivitalo | 4h, k, rt, khh, kh, s, wc","Karkutie 8, Säynätsalo, Jyväskylä",279 000 €,140 m²,2006
"Kerrostalo | 4-5h, k, s, 2xlasit.p","Kenttäkatu 17, Mäki-Matti, Jyväskylä",595 000 €,148 m²,2010
"Rivitalo | 3h, k, s, autokatos, varasto ja piha","Rahulankuja 2, Kuokkalanpelto, Jyväskylä",149 500 €,85 m²,1985
"Kerrostalo | 3h, k, s","Pohjanaho 4, Kuokkala, Jyväskylä",117 000 €,76 m²,1988
"Kerrostalo | 3h, k, oh, ph, 2xvh, lasit. parv.","Pappilanvuorentie 2, Palokka, Jyväskylä",123 000 €,"74,5 m²",1979
Omakotitalo | 5h + k / rt + s + kph + 2 wc + khh + p + terassi,"Myllyahontie 14, Saukkola, Jyväskylä",158 000 €,128 m²,1993
Kerrostalo | 1h + kt + r.parv,"Sulkulantie 17, Kuokkala, Jyväskylä",119 000 €,33 m²,2018
Kerrostalo | 2h + kt + p + kph,"Sulkulantie 17, Kuokkala, Jyväskylä",117 000 €,32 m²,2018
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 5h + k + kh + wc + vh + 2 parveketta,"Vapaudenkatu 77 A, Keskusta, Jyväskylä",199 000 €,109 m²,1974
"Rivitalo | 3h, k, oh, vh, erill.wc, kodinhoitot., kph, s, par","Reimaritie 1, Jyväskylä, Jyväskylä",170 000 €,89 m²,2008
"Kerrostalo | 2h, k","Haapatie 10, Vaajakoski, Jyväskylä",82 000 €,49 m²,1941
-1,-1,-1,-1,-1
Rivitalo | 3h + k + kph + s,"Paatelankuja 1, Säynätsalo, Jyväskylä",129 000 €,77 m²,1980
"Rivitalo | 3-4h, k, ph, s, erill.wc, vh, p","Ylälahdentie 3 A, Ristonmaa, Jyväskylä",179 000 €,86 m²,1990
"Kerrostalo | 4h, k, kph, 2 x vh","Löylykatu 10 D, Mäki-Matti, Jyväskylä",259 000 €,124 m²,1966
"Rivitalo | 4h, k, ph, s, erill.wc, 2xvh, var., autokatos","Heinämutka 2, Heinälampi, Jyväskylä",219 000 €,"112,5 m²",2005
Kerrostalo | 2H + K + S,"WILHELM SCHILDTIN KATU 22, Kortesuo, Jyväskylä","16 467,23 €",54 m²,2002
"Omakotitalo | Oh, k, s, ph, wc + yläkerta 2mh","Kallentie 8, Palokka, Jyväskylä",110 000 €,56 m²,1948
Rivitalo | 3h + k + kph + s + vh + ter + piha,"Niittytie 10 B 18, Lohikoski,, Lohikoski Jyväskylä",160 000 €,75 m²,1983
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Luhtitalo | 3h + k + khh + kph + s,"Usvattarentie 33, Mustalampi, Jyväskylä",144 000 €,"81,5 m²",2009
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Omakotitalo | k + oh + 3h + 2wc + vh + kph + s + at / var,"Kaskikatu 29, Kangasvuori, Jyväskylä",115 000 €,125 m²,1966
Kerrostalo | MANKOLA Luhtitalo 1h + kt,"Liinaharjankatu 17, Mankola, Jyväskylä",93 000 €,28 m²,2016
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Rivitalo | 1h, k, kph, s, ter","Martikaisentie 14, Palokka, Jyväskylä",72 000 €,"35,5 m²",1990
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k, kph, wc, p","Valssikuja 6, Kekkola, Jyväskylä",109 000 €,"79,5 m²",1995
"Kerrostalo | 4h, k, kph, wc, p","Valssikuja 6, Kekkola, Jyväskylä",125 000 €,85 m²,1995
"Kerrostalo | 4h, k, kph, wc, vh, las.p.","Laajavuorentie 3, Kortepohja, Jyväskylä",54 000 €,85 m²,1969
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 2h, k, Kortepohja","Emännäntie 3-5, Kortepohja, Jyväskylä",89 000 €,64 m²,1971
"Kerrostalo | 3h, k, kph / wc, vh, lasitettu p.","Pupuhuhdantie 20 C, Pupuhuhta, Jyväskylä",69 900 €,77 m²,1978
"Rivitalo | 3h, k, s, kph, wc, vh, var, ter","Pohjanrinteentie 1, Palokka, Jyväskylä",158 000 €,75 m²,1988
"Rivitalo | 3h, k, s","Alakivi 1, Myllyjärvi, Jyväskylä",144 000 €,82 m²,1987
"Rivitalo | 3h, k, wc, kph, s, khh, terassi, var","Kotaemontie 1, Kaunisharju, Jyväskylä",229 500 €,80 m²,2007
"Kerrostalo | 2h, k, vh, lasit.p","Taimistontie 6, Huhtasuo, Jyväskylä",64 500 €,"58,5 m²",1978
Kerrostalo | 3h + k + kph + p,"Tyyppäläntie 6, Lohikoski, Jyväskylä",89 000 €,64 m²,1966
-1,-1,-1,-1,-1
"Omakotitalo | 4 mh, olohuone, keittiö, rt, takkahuone, pkh, ph,","Artuntie 6, Ritoniemi, Jyväskylä",448 000 €,195 m²,2007
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + avok + kph + s + las.parv,"Kankaankatu 15 A21, Taulumäki, Jyväskylä",205 000 €,50 m²,2016
Omakotitalo | Oh + k + 3mh + takkah + 2wc + khh + pukuh + ph + s + 2var + ak,"Pirttimäentie 28, Kuokkalanpelto, Jyväskylä",279 000 €,189 m²,2001
Omakotitalo | Oh + 3mh + th + k + wc + s + kh + 2vh + at + var + ter,"Leppäkuja 3, Jyväskylä",146 000 €,100 m²,1978
"Kerrostalo | 2h, k, kh, p","Kauppakatu 8 B, Keskusta, Jyväskylä",129 000 €,54 m²,1962
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Luhtitalo | 2h, k, s, kph, wc, et, p","Tiirantie 14, Halssila, Jyväskylä",135 000 €,"62,5 m²",1992
-1,-1,-1,-1,-1
Kerrostalo | 3h + k + s,"Schaumanin puistotie 35, Lutakko, Jyväskylä","24 376,74 €","70,5 m²",2005
"Rivitalo | 3h, k, s, kph, wc, vh, var, ter, p","Anttoninkatu 26, Lohikoski, Jyväskylä",149 000 €,84 m²,1982
Kerrostalo | 3h + k + kh + 2vh + lasit.p,"Patotie 2 A, Myllyjärvi, Jyväskylä",70 000 €,79 m²,1979
"Omakotitalo | 5 huonetta, keittiö, khh, pesuhuone, sauna, 2*wc,","Kivelänlammentie 80, Vesanka, Jyväskylä",258 000 €,"137,5 m²",2007
